"","Indicadores","CPLE3","NEOE3","LIGT3","ENBR3","CMIG3"
"1","Cotacao","6,05","16,05","10,92","21,36","17,75"
"2","P/L","2,92","4,55","5,36","6,05","7,29"
"3","P/VP","0,77","0,82","0,46","1,13","1,48"
"4","PSR","0,724","0,467","0,269","0,668","0,974"
"5","Div.Yield","19,68%","2,73%","4,04%","7,42%","6,63%"
"6","P/Ativo","0,332","0,240","0,150","0,370","0,566"
"7","P/Cap.Giro","7,56","-12,26","0,93","18,26","10,88"
"8","P/EBIT","4,24","2,40","2,17","3,28","5,87"
"9","P/Ativ Circ.Liq","-1,04","-0,50","-0,41","-1,03","-1,53"
"10","EV/EBIT","5,68","6,06","6,02","5,41","7,47"
"11","EV/EBITDA","4,48","4,91","4,48","4,57","6,23"
"12","Mrg Ebit","17,07%","19,45%","12,36%","20,37%","16,58%"
"13","Mrg. Liq.","25,25%","10,63%","5,02%","12,44%","13,36%"
"14","Liq. Corr.","1,22","0,92","2,05","1,08","1,26"
"15","ROIC","9,27%","11,44%","8,53%","12,76%","10,98%"
"16","ROE","26,26%","17,96%","8,68%","18,65%","20,34%"
"17","Div.Brut/ Patrim.","0,49","1,43","1,22","0,90","0,56"
"18","Cresc. Rec.5a","12,70%","19,75%","7,58%","10,71%","9,89%"
