Data;IBOVam;POUPam;IBOVamAcc;POUPamAcc
1990.01;63,09340258;56,8906;1,630934026;1,568906
1990.02;65,16071251;73,6439;2,693662258;2,724309566
1990.03;-56,16677713;85,2416;1,180718981;5,046554629
1990.04;114,2542955;0,5;2,529741134;5,071787402
1990.05;-6,056328992;5,9069;2,376531688;5,371372812
1990.06;20,31687496;10,1581;2,85936866;5,917002233
1990.07;69,27006471;11,3439;4,840055181;6,58822105
1990.08;-15,93119174;11,1329;4,06897671;7,321681111
1990.09;-7,865661521;13,4142;3,748924774;8,303826058
1990.10;-22,73258583;14,2785;2,896697232;9,489487862
1990.11;48,53204841;17,2232;4,302523735;11,12388134
1990.12;-5,107506601;19,9869;4,082772051;13,34720037
1991.01;88,74224837;20,811;7,705915766;16,12488624
1991.02;52,90016849;7,54;11,78235819;17,34070267
1991.03;-11,5101175;9,0425;10,42619492;18,90873571
1991.04;3,910275369;9,47465;10,83388785;20,70027223
1991.05;67,30334217;9,53495;18,12545646;22,67403284
1991.06;21,15866762;9,947;21,96056155;24,92941889
1991.07;33,13132806;10,60025;29,23638724;27,57199961
1991.08;15,84878428;12,50975;33,86999918;31,02118783
1991.09;17,26963439;17,3639;39,71922421;36,40767587
1991.10;31,13226821;20,36885;52,08471962;43,82350075
1991.11;0,673064938;31,1726;52,4352836;57,48442535
1991.12;88,11439891;29,0621;98,63831856;74,19060653
1992.01;84,39844676;26,1074;181,8875273;93,55984494
1992.02;29,36557509;26,23805;235,2998458;118,1081238
1992.03;21,08566699;24,89135;284,9143877;147,5068303
1992.04;28,59584164;21,6854;366,3880548;179,4942765
1992.05;14,78183832;20,40905;420,5469447;216,1273531
1992.06;-22,54939796;21,65525;325,7161405;262,9302718
1992.07;33,53928945;24,30845;434,9590196;326,8445454
1992.08;21,90671642;23,8361;530,2442586;404,7515381
1992.09;36,18805669;26,0069;722,1293515;510,0148659
1992.10;3,7735425;25,69535;749,3792095;641,0649707
1992.11;-0,931280185;23,90645;742,4003894;794,3208474
1992.12;48,23033032;24,57;1100,46255;989,4854796
1993.01;36,93680407;27,39;1506,938245;1260,505553
1993.02;51,2547119;27,03;2279,315101;1601,220203
1993.03;36,54229564;26,43905;3112,229164;2024,567614
1993.04;25,59449312;28,8611;3908,788444;2608,880097
1993.05;47,01046338;29,3234;5746,328004;3373,892443
1993.06;51,79630571;30,7304;8722,713624;4410,703087
1993.07;22,01134989;31,02185;10642,70064;5778,984782
1993.08;47,03774304;34,0067;15648,78682;7744,2268
1993.09;52,04314458;35,2931;23792,90757;10477,40451
1993.10;25,75034106;37,2126;29919,66241;14376,31914
1993.11;48,64659615;36,8408;44474,55976;19672,67012
1993.12;37,01054629;37,484;60934,83729;27046,77379
1994.01;97,24330803;42,1472;120189,8888;38446,23163
1994.02;42,29964216;40,5593;171029,7817;54039,75406
1994.03;43,81286772;42,5592;245962,8337;77038,64107
1994.04;12,72847245;46,6999;277270,1452;113015,6094
1994.05;44,41582768;47,1722;400421,9751;166327,5587
1994.06;46,85068093;47,6097;588022,3971;245515,6104
1994.07;15,95870939;5,5513;681863,1826;259144,9185
1994.08;26,85121272;2,6419;864951,7162;265991,2681
1994.09;2,900889406;2,9513;890043,0089;273841,4684
1994.10;-12,51094092;3,0679;778690,2539;282242,6508
1994.11;-2,957543925;3,4356;755660,1476;291939,3793
1994.12;-6,488402062;3,3875;706629,879;301828,8258
1995.01;-10,76965479;2,61;630528,2804;309706,5582
1995.02;-15,80952381;2,36;530844,7617;317015,6329
1995.03;-8,92442216;2,8113;483469,9342;325927,8934
1995.04;28,02376716;3,984;618956,4228;338912,8607
1995.05;-2,443820961;3,7633;603830,236;351667,1684
1995.06;-3,150114232;3,4007;584808,8938;363626,3138
1995.07;7,606915883;3,5055;629294,8145;376373,2342
1995.08;11,16985609;3,1175;699586,1396;388106,6698
1995.09;8,342419673;2,449;757948,5514;397611,4021
1995.10;-11,60146464;2,1623;670015,4182;406208,9535
1995.11;6,060606061;1,95;710622,4132;414130,0281
1995.12;-1,815690305;1,85;697719,711;421791,4336
1996.01;19,83019307;1,76;836078,8767;429214,9628
1996.02;-3,762011065;1,47;804625,4969;435524,4228
1996.03;-0,056477802;1,32;804171,0621;441273,3451
1996.04;4,22208319;1,16;838123,8333;446392,116
1996.05;10,91768169;1,09;929627,5256;451257,79
1996.06;5,51511025;1,11;980897,5086;456266,7515
1996.07;1,313743009;1,09;993783,981;461240,0591
1996.08;2,224327149;1,13;1015888,988;466452,0717
1996.09;2,993897179;1,17;1046303,66;471909,561
1996.10;1,338648632;1,25;1060309,989;477808,4305
1996.11;2,034256325;1,32;1081879,412;484115,5018
1996.12;5,609060906;1,38;1142562,687;490796,2957
1997.01;13,13512976;1,25;1292639,779;496931,2494
1997.02;10,84925797;1,16;1432881,603;502695,6519
1997.03;2,438637625;1,13;1467824,393;508376,1128
1997.04;10,37151703;1,12;1620060,05;514069,9252
1997.05;13,64456021;1,14;1841110,119;519930,3224
1997.06;10,78102962;1,16;2039600,746;525961,5141
1997.07;2,426991326;1,16;2089101,68;532062,6677
1997.08;-17,58079553;1,13;1721820,985;538074,9758
1997.09;11,1980394;1,15;1914631,177;544262,838
1997.10;-23,82809189;1,16;1458411,101;550576,287
1997.11;4,540396172;2,04;1524628,743;561808,0432
1997.12;8,537364275;1,82;1654791,852;572032,9496
